dataset;viola;barandela;davis;frery;haibo;hajizadeh;han;liu;steck;weinberger;zhang2013;ferri;zhang2017;count
glass;x;x;;;;x;;;x;;x;x;x;7
ionosphere;x;;x;;x;;;x;x;;;x;;6
pima;x;;;x;;;x;x;x;;;x;;6
vehicule;x;x;;;x;;;;;;x;x;;5
german;x;;;;;;;;;;x;x;x;4
satimage;x;x;;;;;x;;;;;;x;4
wine;x;;x;;;;;;;x;;x;;4
hepatitis;;;;;;;;;x;;x;x;x;4
abalone;x;x;;;x;;;;;;;;;3
balance;x;;;;;;;x;;;;x;;3
wovel;;;;;x;x;;;;;;x;;3
breastcancer;;;;x;;;;;;;;x;;2
hayes;x;;;;;;;;x;;;;;2
heart cleveland;;;;x;;;;x;;;;;;2
iris;;;x;;;;;;;x;;;;2
segmentation;x;;;;;;;;;;;x;;2
soybean;;;x;;;;;;;;;x;;2
yearst;x;;;;;x;;;;;;;;2
ada;;;;;;;;x;;;;;x;2
sylva;;;;;;;;x;;;;;x;2
oil;;;;;;;;;;;x;;x;2
autompg;x;;;;;;;;;;;;;1
circle;;;;;;;x;;;;;;;1
diabet;;;;;x;;;;;;;;;1
digit-389;;;x;;;;;;;;;;;1
ecoli;;;;;;x;;;;;;;;1
foxpro;;;x;;;;;;;;;;;1
fraud;;;;x;;;;;;;;;;1
haberman;;;;;;;x;;;;;;;1
hiv;;;;x;;;;;;;;;;1
iptables;;;x;;;;;;;;;;;1
latex;;;x;;;;;;;;;;;1
libras;x;;;;;;;;;;;;;1
mpg321;;;x;;;;;;;;;;;1
pageblocks;x;;;;;;;;;;;;;1
phenomene;;x;;;;;;;;;;;;1
w8a;;;;x;;;;;;;;;;1
appetency;;;;;;;;x;;;;;;1
churn;;;;;;;;x;;;;;;1
upselling;;;;;;;;x;;;;;;1
braziltourism;;;;;;;;x;;;;;;1
marketing;;;;;;;;x;;;;;;1
backache;;;;;;;;x;;;;;;1
biomed;;;;;;;;x;;;;;;1
ipums;;;;;;;;x;;;;;;1
primary;;;;;;;;x;;;;;;1
echocardiogram;;;;;;;;;x;;;;;1
mnist;;;;;;;;;;x;;;;1
letters;;;;;;;;;;x;;;;1
20news;;;;;;;;;;x;;;;1
isolot;;;;;;;;;;x;;;;1
yaleface;;;;;;;;;;x;;;;1
